"Step","Name: compare_q_matrix-mlp - Log ZCSMC","Name: compare_q_matrix-mlp - Log ZCSMC__MIN","Name: compare_q_matrix-mlp - Log ZCSMC__MAX","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX","Name: compare_q_matrix-jc69 - Log ZCSMC","Name: compare_q_matrix-jc69 - Log ZCSMC__MIN","Name: compare_q_matrix-jc69 - Log ZCSMC__MAX"
"168","-5851.0431640625","-5875.666015625","-5835.681640625","-5966.883203125","-5969.001953125","-5965.3271484375","-6387.721484375","-6389.513671875","-6386.5439453125"
"169","-5850.348046875","-5874.6201171875","-5835.140625","-5966.4568359375","-5968.4501953125","-5964.953125","-6387.6943359375","-6389.4384765625","-6386.5419921875"
"170","-5849.43203125","-5873.2373046875","-5834.6220703125","-5966.1033203125","-5968.0859375","-5964.6513671875","-6387.6677734375","-6389.36328125","-6386.5400390625"
"171","-5848.618359375","-5871.740234375","-5834.0458984375","-5965.7","-5967.734375","-5964.1611328125","-6387.6412109375","-6389.291015625","-6386.5361328125"
"172","-5848.0970703125","-5870.75","-5833.5029296875","-5965.3318359375","-5967.4150390625","-5963.888671875","-6387.615234375","-6389.220703125","-6386.533203125"
"173","-5847.4751953125","-5869.2216796875","-5832.9599609375","-5964.9376953125","-5967.0107421875","-5963.47265625","-6387.590234375","-6389.1513671875","-6386.5322265625"
"174","-5846.862890625","-5867.6201171875","-5832.470703125","-5964.61015625","-5966.6865234375","-5963.1494140625","-6387.565625","-6389.0810546875","-6386.5302734375"
"175","-5846.2236328125","-5866.337890625","-5831.8857421875","-5964.2513671875","-5966.1767578125","-5962.84765625","-6387.542578125","-6389.013671875","-6386.529296875"
"176","-5845.7236328125","-5864.88671875","-5831.435546875","-5963.8609375","-5965.8935546875","-5962.447265625","-6387.5185546875","-6388.9482421875","-6386.52734375"
"177","-5845.1212890625","-5863.2041015625","-5830.869140625","-5963.513671875","-5965.5263671875","-5962.0712890625","-6387.495703125","-6388.8837890625","-6386.5244140625"
"178","-5844.78828125","-5861.701171875","-5830.33203125","-5963.2251953125","-5965.1630859375","-5961.861328125","-6387.473046875","-6388.8212890625","-6386.5234375"
"179","-5844.6359375","-5860.2509765625","-5829.990234375","-5962.8576171875","-5964.763671875","-5961.5537109375","-6387.451171875","-6388.7568359375","-6386.521484375"
"180","-5844.2294921875","-5858.6396484375","-5829.400390625","-5962.5509765625","-5964.4765625","-5961.25","-6387.42890625","-6388.6962890625","-6386.51953125"
"181","-5842.7109375","-5857.1259765625","-5823.3876953125","-5962.17734375","-5964.052734375","-5960.81640625","-6387.4080078125","-6388.6357421875","-6386.517578125"
"182","-5843.41123046875","-5855.658203125","-5829.28173828125","-5961.908203125","-5963.84375","-5960.59765625","-6387.387109375","-6388.576171875","-6386.5146484375"
"183","-5846.353125","-5854.189453125","-5837.990234375","-5961.5548828125","-5963.5087890625","-5960.2255859375","-6387.367578125","-6388.5205078125","-6386.5146484375"
"184","-5845.66630859375","-5852.603515625","-5837.7861328125","-5961.234375","-5963.0732421875","-5959.92578125","-6387.348046875","-6388.4638671875","-6386.5146484375"
"185","-5844.822265625","-5851.1396484375","-5837.3720703125","-5960.9451171875","-5962.837890625","-5959.6796875","-6387.3275390625","-6388.408203125","-6386.509765625"
"186","-5844.0794921875","-5849.732421875","-5837.0595703125","-5960.619921875","-5962.4560546875","-5959.3701171875","-6387.308984375","-6388.353515625","-6386.509765625"
"187","-5843.50625","-5848.248046875","-5836.70703125","-5960.29140625","-5962.1748046875","-5958.9404296875","-6387.290625","-6388.30078125","-6386.5087890625"
"188","-5842.8263671875","-5846.72265625","-5836.42578125","-5960.059375","-5961.7822265625","-5958.8720703125","-6387.272265625","-6388.2470703125","-6386.5078125"
"189","-5842.5294921875","-5845.4990234375","-5836.19140625","-5959.765234375","-5961.478515625","-5958.5048828125","-6387.2537109375","-6388.1962890625","-6386.505859375"
"190","-5841.88046875","-5845.0458984375","-5835.76953125","-5959.491015625","-5961.134765625","-5958.3232421875","-6387.2365234375","-6388.1484375","-6386.5048828125"
"191","-5841.4603515625","-5845.07421875","-5835.47265625","-5959.182421875","-5960.9296875","-5957.875","-6387.2193359375","-6388.09765625","-6386.501953125"
"192","-5841.05400390625","-5844.62158203125","-5835.1259765625","-5958.8556640625","-5960.6318359375","-5957.603515625","-6387.2021484375","-6388.05078125","-6386.501953125"
"193","-5841.0478515625","-5844.73828125","-5835.03125","-5958.5822265625","-5960.32421875","-5957.400390625","-6387.18515625","-6388.001953125","-6386.5"
"194","-5840.12236328125","-5849.26171875","-5826.82763671875","-5958.3201171875","-5959.982421875","-5957.1640625","-6387.16953125","-6387.95703125","-6386.4990234375"
"195","-5839.799609375","-5849.9541015625","-5825.962890625","-5958.0517578125","-5959.685546875","-5956.90625","-6387.1537109375","-6387.912109375","-6386.498046875"
"196","-5839.1947265625","-5848.8359375","-5825.4521484375","-5957.7884765625","-5959.4091796875","-5956.6416015625","-6387.137890625","-6387.8681640625","-6386.4970703125"
"197","-5838.2376953125","-5846.392578125","-5825.0625","-5957.574609375","-5959.1943359375","-5956.564453125","-6387.1232421875","-6387.82421875","-6386.49609375"
"198","-5837.8083984375","-5846.16796875","-5824.9140625","-5957.2853515625","-5959.0283203125","-5956.103515625","-6387.108203125","-6387.783203125","-6386.4951171875"
"199","-5836.6408203125","-5843.0048828125","-5824.9755859375","-5957.0154296875","-5958.6923828125","-5955.857421875","-6387.0935546875","-6387.7451171875","-6386.4931640625"
