"Step","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX"
"85","-6039.168131510417","-6044.8232421875","-6035.3154296875"
"86","-6037.448404947917","-6043.064453125","-6033.646484375"
"87","-6035.722819010417","-6041.1982421875","-6031.919921875"
"88","-6033.986490885417","-6039.3310546875","-6030.2412109375"
"89","-6032.367513020833","-6037.697265625","-6028.5810546875"
"90","-6030.757649739583","-6035.9140625","-6027.099609375"
"91","-6029.167643229167","-6034.2802734375","-6025.529296875"
"92","-6027.619140625","-6032.654296875","-6023.90625"
"93","-6026.096354166667","-6030.939453125","-6022.4755859375"
"94","-6024.647298177083","-6029.5537109375","-6021"
"95","-6023.175455729167","-6027.9189453125","-6019.4912109375"
"96","-6021.734375","-6026.5234375","-6018.189453125"
"97","-6020.330891927083","-6025.0126953125","-6016.7314453125"
"98","-6018.964029947917","-6023.5341796875","-6015.4609375"
"99","-6017.649251302083","-6022.09765625","-6014.236328125"
"100","-6016.339029947917","-6020.6708984375","-6012.9150390625"
"101","-6015.016927083333","-6019.4248046875","-6011.5185546875"
"102","-6013.77001953125","-6018.0849609375","-6010.3623046875"
"103","-6012.536946614583","-6016.6337890625","-6009.09765625"
