"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"77","-5938.5517578125","-5938.5517578125","-5938.5517578125","-5912.1298828125","-5912.1298828125","-5912.1298828125","-5887.7236328125","-5887.7236328125","-5887.7236328125"
"78","-5938.1015625","-5938.1015625","-5938.1015625","-5910.025390625","-5910.025390625","-5910.025390625","-5886.54296875","-5886.54296875","-5886.54296875"
"79","-5937.677734375","-5937.677734375","-5937.677734375","-5907.833984375","-5907.833984375","-5907.833984375","-5885.4521484375","-5885.4521484375","-5885.4521484375"
"80","-5937.4072265625","-5937.4072265625","-5937.4072265625","-5905.580078125","-5905.580078125","-5905.580078125","-5884.3212890625","-5884.3212890625","-5884.3212890625"
"81","-5936.8662109375","-5936.8662109375","-5936.8662109375","-5903.3818359375","-5903.3818359375","-5903.3818359375","-5883.1240234375","-5883.1240234375","-5883.1240234375"
"82","-5936.2998046875","-5936.2998046875","-5936.2998046875","-5901.5322265625","-5901.5322265625","-5901.5322265625","-5881.841796875","-5881.841796875","-5881.841796875"
"83","-5936.0498046875","-5936.0498046875","-5936.0498046875","-5899.330078125","-5899.330078125","-5899.330078125","-5880.669921875","-5880.669921875","-5880.669921875"
"84","-5935.5498046875","-5935.5498046875","-5935.5498046875","-5897.623046875","-5897.623046875","-5897.623046875","-5879.1806640625","-5879.1806640625","-5879.1806640625"
"85","-5935.2099609375","-5935.2099609375","-5935.2099609375","-5895.61328125","-5895.61328125","-5895.61328125","-5877.01171875","-5877.01171875","-5877.01171875"
"86","-5934.7236328125","-5934.7236328125","-5934.7236328125","-5894.2236328125","-5894.2236328125","-5894.2236328125","-5875.1572265625","-5875.1572265625","-5875.1572265625"
"87","-5934.34375","-5934.34375","-5934.34375","-5901.5048828125","-5901.5048828125","-5901.5048828125","-5874.03125","-5874.03125","-5874.03125"
"88","-5933.9697265625","-5933.9697265625","-5933.9697265625","-5897.7802734375","-5897.7802734375","-5897.7802734375","-5873.34765625","-5873.34765625","-5873.34765625"
"89","-5933.662109375","-5933.662109375","-5933.662109375","-5894.9638671875","-5894.9638671875","-5894.9638671875","-5872.767578125","-5872.767578125","-5872.767578125"
"90","-5933.068359375","-5933.068359375","-5933.068359375","-5890.5615234375","-5890.5615234375","-5890.5615234375","-5871.908203125","-5871.908203125","-5871.908203125"
"91","-5932.80859375","-5932.80859375","-5932.80859375","-5904.9267578125","-5904.9267578125","-5904.9267578125","-5870.974609375","-5870.974609375","-5870.974609375"
"92","-5932.33984375","-5932.33984375","-5932.33984375","-5887.1787109375","-5887.1787109375","-5887.1787109375","-5869.97265625","-5869.97265625","-5869.97265625"
"93","-5932.0595703125","-5932.0595703125","-5932.0595703125","-5888.2265625","-5888.2265625","-5888.2265625","-5868.7451171875","-5868.7451171875","-5868.7451171875"
"94","-5931.5458984375","-5931.5458984375","-5931.5458984375","-5894.1220703125","-5894.1220703125","-5894.1220703125","-5867.62890625","-5867.62890625","-5867.62890625"
"95","-5931.0712890625","-5931.0712890625","-5931.0712890625","-5895.244140625","-5895.244140625","-5895.244140625","-5866.517578125","-5866.517578125","-5866.517578125"
"96","-5930.8525390625","-5930.8525390625","-5930.8525390625","-5889.2294921875","-5889.2294921875","-5889.2294921875","-5865.5341796875","-5865.5341796875","-5865.5341796875"
"97","-5930.2705078125","-5930.2705078125","-5930.2705078125","-5882.4619140625","-5882.4619140625","-5882.4619140625","-5864.58984375","-5864.58984375","-5864.58984375"
"98","-5929.876953125","-5929.876953125","-5929.876953125","-5882.4404296875","-5882.4404296875","-5882.4404296875","-5863.6943359375","-5863.6943359375","-5863.6943359375"
"99","-5929.5556640625","-5929.5556640625","-5929.5556640625","-5873.9931640625","-5873.9931640625","-5873.9931640625","-5863.45703125","-5863.45703125","-5863.45703125"
"100","-5929.1240234375","-5929.1240234375","-5929.1240234375","-5875.8515625","-5875.8515625","-5875.8515625","-5863.447265625","-5863.447265625","-5863.447265625"
"101","-5928.7958984375","-5928.7958984375","-5928.7958984375","-5875.5380859375","-5875.5380859375","-5875.5380859375","-5863.35546875","-5863.35546875","-5863.35546875"
"102","-5928.4013671875","-5928.4013671875","-5928.4013671875","-5874.2685546875","-5874.2685546875","-5874.2685546875","-5862.904296875","-5862.904296875","-5862.904296875"
"103","-5927.8984375","-5927.8984375","-5927.8984375","-5854.1689453125","-5854.1689453125","-5854.1689453125","-5861.931640625","-5861.931640625","-5861.931640625"
"104","-5927.5107421875","-5927.5107421875","-5927.5107421875","-5872.119140625","-5872.119140625","-5872.119140625","-5860.47265625","-5860.47265625","-5860.47265625"
"105","-5927.173828125","-5927.173828125","-5927.173828125","-5871.9111328125","-5871.9111328125","-5871.9111328125","-5859.0166015625","-5859.0166015625","-5859.0166015625"
"106","-5926.7177734375","-5926.7177734375","-5926.7177734375","-5870.6494140625","-5870.6494140625","-5870.6494140625","-5857.8330078125","-5857.8330078125","-5857.8330078125"
"107","-5926.21875","-5926.21875","-5926.21875","-5871.3134765625","-5871.3134765625","-5871.3134765625","-5857.0771484375","-5857.0771484375","-5857.0771484375"
"108","-5925.828125","-5925.828125","-5925.828125","-5871.4326171875","-5871.4326171875","-5871.4326171875","-5856.5810546875","-5856.5810546875","-5856.5810546875"
"109","-5925.4296875","-5925.4296875","-5925.4296875","-5868.1884765625","-5868.1884765625","-5868.1884765625","-5856.041015625","-5856.041015625","-5856.041015625"
"110","-5925.02734375","-5925.02734375","-5925.02734375","-5865.828125","-5865.828125","-5865.828125","-5855.45703125","-5855.45703125","-5855.45703125"
"111","-5924.5224609375","-5924.5224609375","-5924.5224609375","-5865.435546875","-5865.435546875","-5865.435546875","-5854.6416015625","-5854.6416015625","-5854.6416015625"
"112","-5924.205078125","-5924.205078125","-5924.205078125","-5864.7236328125","-5864.7236328125","-5864.7236328125","-5853.7734375","-5853.7734375","-5853.7734375"
"113","-5923.6396484375","-5923.6396484375","-5923.6396484375","-5851.537109375","-5851.537109375","-5851.537109375","-5852.7978515625","-5852.7978515625","-5852.7978515625"
"114","-5923.0830078125","-5923.0830078125","-5923.0830078125","-5863.2998046875","-5863.2998046875","-5863.2998046875","-5851.9013671875","-5851.9013671875","-5851.9013671875"
"115","-5922.6181640625","-5922.6181640625","-5922.6181640625","-5861.80078125","-5861.80078125","-5861.80078125","-5851.10546875","-5851.10546875","-5851.10546875"
"116","-5922.2763671875","-5922.2763671875","-5922.2763671875","-5860.162109375","-5860.162109375","-5860.162109375","-5850.5556640625","-5850.5556640625","-5850.5556640625"
"117","-5921.8896484375","-5921.8896484375","-5921.8896484375","-5859.51171875","-5859.51171875","-5859.51171875","-5849.90625","-5849.90625","-5849.90625"
"118","-5921.34765625","-5921.34765625","-5921.34765625","-5858.89453125","-5858.89453125","-5858.89453125","-5849.53125","-5849.53125","-5849.53125"
"119","-5920.7119140625","-5920.7119140625","-5920.7119140625","-5858.080078125","-5858.080078125","-5858.080078125","-5848.798828125","-5848.798828125","-5848.798828125"
"120","-5920.169921875","-5920.169921875","-5920.169921875","-5857.4052734375","-5857.4052734375","-5857.4052734375","-5848.123046875","-5848.123046875","-5848.123046875"
"121","-5919.80078125","-5919.80078125","-5919.80078125","-5856.4755859375","-5856.4755859375","-5856.4755859375","-5847.1630859375","-5847.1630859375","-5847.1630859375"
"122","-5919.2001953125","-5919.2001953125","-5919.2001953125","-5855.0703125","-5855.0703125","-5855.0703125","-5846.607421875","-5846.607421875","-5846.607421875"
"123","-5918.673828125","-5918.673828125","-5918.673828125","-5854.4189453125","-5854.4189453125","-5854.4189453125","-5845.9072265625","-5845.9072265625","-5845.9072265625"
"124","-5918.0126953125","-5918.0126953125","-5918.0126953125","-5853.755859375","-5853.755859375","-5853.755859375","-5845.2529296875","-5845.2529296875","-5845.2529296875"
"125","-5917.427734375","-5917.427734375","-5917.427734375","-5846.08203125","-5846.08203125","-5846.08203125","-5844.7021484375","-5844.7021484375","-5844.7021484375"
"126","-5916.904296875","-5916.904296875","-5916.904296875","-5852.7138671875","-5852.7138671875","-5852.7138671875","-5844.076171875","-5844.076171875","-5844.076171875"
"127","-5916.0634765625","-5916.0634765625","-5916.0634765625","-5852.927734375","-5852.927734375","-5852.927734375","-5843.3720703125","-5843.3720703125","-5843.3720703125"
"128","-5915.4814453125","-5915.4814453125","-5915.4814453125","-5851.5751953125","-5851.5751953125","-5851.5751953125","-5842.73828125","-5842.73828125","-5842.73828125"
"129","-5914.9375","-5914.9375","-5914.9375","-5844.734375","-5844.734375","-5844.734375","-5842.1015625","-5842.1015625","-5842.1015625"
"130","-5914.1396484375","-5914.1396484375","-5914.1396484375","-5849.98046875","-5849.98046875","-5849.98046875","-5841.6357421875","-5841.6357421875","-5841.6357421875"
"131","-5913.43359375","-5913.43359375","-5913.43359375","-5849.609375","-5849.609375","-5849.609375","-5840.90234375","-5840.90234375","-5840.90234375"
"132","-5912.708984375","-5912.708984375","-5912.708984375","-5849.2216796875","-5849.2216796875","-5849.2216796875","-5840.4658203125","-5840.4658203125","-5840.4658203125"
"133","-5911.8720703125","-5911.8720703125","-5911.8720703125","-5848.4921875","-5848.4921875","-5848.4921875","-5839.87890625","-5839.87890625","-5839.87890625"
"134","-5911.2763671875","-5911.2763671875","-5911.2763671875","-5847.5791015625","-5847.5791015625","-5847.5791015625","-5839.2255859375","-5839.2255859375","-5839.2255859375"
"135","-5910.43359375","-5910.43359375","-5910.43359375","-5844.96875","-5844.96875","-5844.96875","-5838.56640625","-5838.56640625","-5838.56640625"
"136","-5909.7197265625","-5909.7197265625","-5909.7197265625","-5843.685546875","-5843.685546875","-5843.685546875","-5838.1494140625","-5838.1494140625","-5838.1494140625"
